# NormOfTensor
# [1] = n+4
# [2] = L2(sqrt(dFError^2))
4  0.029629748977118421788 
5  0.019742014793477948714 
6  0.0085229864372496442343 
7  0.0014374443349818813876 
8  0.00034298799962182411911 
9  0.00015832798787739137082 
10  2.1685672289505325793e-05 
11  4.8935576061154071714e-06 
12  1.7618815045565091707e-06 
13  1.4440729016070956991e-07 
14  5.5750459111579561133e-08 
15  1.2109677690163613583e-08 
16  6.7817007680421333642e-10 
17  4.2618270442809774137e-10 
18  4.5751310011726348704e-11 
19  7.7876143341840294742e-12 
20  1.9820865280062507145e-12 
21  7.3173171311919144681e-14 
22  5.5696660952225113454e-14 
23  1.4711311544506076178e-14 
24  1.7677227323907146802e-14 
25  2.1725603503631157131e-14 
26  4.4586131465670866957e-15 
27  9.7472556056188019687e-15 
28  2.2384850114680470357e-14 
29  4.1420819983702795585e-14 
30  5.4605781425758379467e-15 
31  6.7468256029040166357e-14 
32  1.9406952765072226358e-14 
