# NormOfTensor
# [1] = n+4
# [2] = L2(sqrt(dFError^2))
4  0.029629748977118477299 
5  0.019742014793477865447 
6  0.0085229864372498471969 
7  0.0014374443349817007595 
8  0.00034298799962161980121 
9  0.00015832798787748398879 
10  2.1685672290090157998e-05 
11  4.8935576060330493109e-06 
12  1.7618815045078814327e-06 
13  1.4440728874717368187e-07 
14  5.5750459297868887034e-08 
15  1.2109675562935836432e-08 
16  6.7816753558243878262e-10 
17  4.2618344021226678869e-10 
18  4.5753022860991545777e-11 
19  7.7858490088684628687e-12 
20  1.9820200116154386571e-12 
21  7.4292090302147491347e-14 
22  5.0870626861744240312e-14 
23  7.3021596386029150904e-15 
24  2.9071809342715538772e-14 
25  2.0918029462006659134e-14 
26  7.6010585331643443077e-15 
27  7.966408754750055968e-15 
28  2.2535217069355181069e-14 
29  1.59777773562193884e-14 
30  8.7314390639385670533e-15 
31  3.6718881766965950705e-14 
32  1.0279572188172197758e-14 
